url,sub_job_title,industry,job_value_avg,job_value_range_low,job_value_range_high,job_value_sample_n,job_value_template,lead_cost_low,lead_cost_high,lead_cost_note
https://www.homeadvisor.com/cost/garages/repair-a-driveway/,Concrete Driveway Repair Cost,,1855,714,3035,59,A,,,
https://www.homeadvisor.com/cost/flooring/install-travertine-flooring/,Travertine Tile Flooring Installation Cost,Flooring,2000,600,3200,0,A,85,85,
https://www.homeadvisor.com/cost/doors-and-windows/garden-greenhouse-windows/,Garden Window Cost,Window replacement,2500,1200,3650,0,A,30,350,
https://www.homeadvisor.com/cost/garages/install-driveway-pavers/,Paver Driveway Cost,,12000,6000,18000,0,A,,,
https://www.homeadvisor.com/cost/doors-and-windows/repair-a-door/,Door Repair Cost,Door installation,239,132,372,18083,A,10,60,
https://www.homeadvisor.com/cost/environmental-safety/roach-fumigation/,Cockroach Exterminator Cost,,200,100,600,0,A,,,
https://www.homeadvisor.com/cost/fencing/install-dog-run/,How Much Does a Dog Run Cost?,Fencing,4540,80,9000,-1,"B (range-only, avgCost is a midpoint estimate)",55,175,
https://www.homeadvisor.com/cost/doors-and-windows/window-security-film-installation-cost/,Window Security Film Installation Cost,Window replacement,650,350,650,0,A,30,350,
https://www.homeadvisor.com/cost/home-offices/repair-a-computer-network-or-wiring/,Home Network Computer Repair Cost Calculator,,168,103,258,6752,A,,,
https://www.homeadvisor.com/cost/heating-and-cooling/dryer-vent-installation/,Dryer Vent Installation Cost,HVAC (AC/Heating),200,140,600,0,A,10,325,
https://www.homeadvisor.com/cost/doors-and-windows/security-door-prices/,Security Door Installation Cost,Door installation,1190,560,2900,0,A,10,60,
https://www.homeadvisor.com/cost/flooring/install-lvt/,How Much Does LVT Flooring Cost?,Flooring,10,3,18,-1,"B (range-only, avgCost is a midpoint estimate)",85,85,
https://www.homeadvisor.com/cost/gutters/install-gutters-and-downspouts/,Gutter Replacement Cost,Gutters,1094,637,1620,34423,A,65,65,
https://www.homeadvisor.com/cost/doors-and-windows/install-a-pocket-door/,Pocket Door Installation Cost,Door installation,1050,800,2500,0,A,10,60,
https://www.homeadvisor.com/cost/home-design-and-decor/built-in-seating/,Window Seat Cost,,2500,1000,6000,0,A,,,
https://www.homeadvisor.com/cost/flooring/repair-flooring/,Sagging Floor Repair Cost,Flooring,362,269,469,26360,A,85,85,
https://www.homeadvisor.com/cost/energy-efficiency/install-solar-panels-in-georgia/,How Much Is the Cost of Solar Panels in Georgia?,Solar,23275,20850,25700,0,"B (range-only, avgCost is a midpoint estimate)",100,100,
https://www.homeadvisor.com/cost/home-design-and-decor/hire-a-decorator-for-staging-a-home/,House Staging Cost,,1846,830,2917,415,A,,,
https://www.homeadvisor.com/cost/garages/garage-door-prices/,How Much Does Garage Door Replacement Cost in 2025?,Garage door,725,350,1100,-1,"B (range-only, avgCost is a midpoint estimate)",,,Industry tracked but no lead-cost data found
https://www.homeadvisor.com/cost/garages/install-a-garage-door-opener/,Garage Door Opener Cost,Garage door,379,218,540,11411,A,,,Industry tracked but no lead-cost data found
https://www.homeadvisor.com/cost/environmental-safety/hire-a-animal-control-service/,Wildlife Removal Cost,Pest control,672,356,999,19503,A,40,195,
https://www.homeadvisor.com/cost/electrical/recessed-lighting-installation/,Recessed Lighting Installation Cost,Electrical,180,100,300,0,A,10,175,
https://www.homeadvisor.com/cost/heating-and-cooling/firewood/,Cord of Wood Cost,HVAC (AC/Heating),300,150,500,0,A,10,325,
https://www.homeadvisor.com/cost/doors-and-windows/storm-door/,Storm Door Installation Cost,Door installation,3607,3527,3700,17,A,10,60,
https://www.homeadvisor.com/cost/doors-and-windows/sliding-glass-door/,Sliding Glass Door Cost,Door installation,1822,783,3070,1831,A,10,60,
https://www.homeadvisor.com/cost/fencing/pool-fence/,Pool Fence Cost,Fencing,4000,1500,10000,0,A,55,175,
https://www.homeadvisor.com/cost/fencing/install-a-barbed-wire-fence/,Barbed Wire Fence Cost,Fencing,3814,1612,6154,132,A,55,175,
https://www.homeadvisor.com/cost/home-design-and-decor/hire-an-interior-decorator-or-designer/,Interior Designer Cost,,8455,1957,16101,3355,A,,,
https://www.homeadvisor.com/cost/electrical/upgrade-an-electrical-panel/,Electrical Panel Replacement Cost,Electrical,1346,518,2192,25090,A,10,175,
https://www.homeadvisor.com/cost/fencing/install-board-on-board-fence/,Board-on-Board Fence Cost,Fencing,6750,1550,15600,0,A,55,175,
https://www.homeadvisor.com/cost/heating-and-cooling/ductless-mini-split-ac/,Mini-Split AC Installation Cost,HVAC (AC/Heating),3000,2000,14500,0,A,10,325,
https://www.homeadvisor.com/cost/doors-and-windows/install-a-screen/,Window Screen Replacement Cost,Window replacement,397,197,601,7528,A,30,350,
https://www.homeadvisor.com/cost/doors-and-windows/window-replacement/,How Much Does a Window Replacement Cost in 2025?,Window replacement,1200,300,2100,-1,"B (range-only, avgCost is a midpoint estimate)",30,350,
https://www.homeadvisor.com/cost/electrical/whole-house-surge-protector/,Whole-House Surge Protector Cost,Electrical,300,70,700,0,A,10,175,
https://www.homeadvisor.com/cost/foundations/crawl-space-repair-and-clean/,Crawl Space Repair,,6000,4500,8000,0,A,,,
https://www.homeadvisor.com/cost/gutters/repair-gutters-and-downspouts/,Gutter Repairs Cost Calculator,Gutters,372,170,576,12076,A,65,65,
https://www.homeadvisor.com/cost/environmental-safety/hire-an-insect-control-service/,Pest Control Cost,Pest control,172,108,261,28933,A,40,195,
https://www.homeadvisor.com/cost/heating-and-cooling/wood-boiler-cost/,Outdoor Wood Furnace Cost,HVAC (AC/Heating),12000,8000,20000,0,A,10,325,
https://www.homeadvisor.com/cost/heating-and-cooling/repair-a-window-air-conditioner/,Window Air Conditioner Repair Cost,HVAC (AC/Heating),219,126,312,663,A,10,325,
https://www.homeadvisor.com/cost/flooring/repair-wood-flooring/,Hardwood Floor Repair Cost,Flooring,1179,476,1888,3112,A,85,85,
https://www.homeadvisor.com/cost/heating-and-cooling/install-a-whole-house-fan/,Whole-House Fan Cost,HVAC (AC/Heating),1700,900,2400,0,A,10,325,
https://www.homeadvisor.com/cost/doors-and-windows/install-replace-patio-doors/,Patio Door Replacement Cost,Door installation,2500,1550,6250,0,A,10,60,
https://www.homeadvisor.com/cost/heating-and-cooling/chimney-repair/,Chimney Repair Cost,HVAC (AC/Heating),455,160,750,0,A,10,325,
https://www.homeadvisor.com/cost/handyman/install-weather-stripping/,Weatherstripping Cost,Handyman,422,225,625,49,A,30,30,
https://www.homeadvisor.com/cost/flooring/repair-ceramic-or-porcelain-tile/,Ceramic or Porcelain Tile Repair Cost Calculator,Flooring,430,380,480,3532,A,85,85,
https://www.homeadvisor.com/cost/foundations/raise-a-foundation/,Cost to Raise a House,,7629,3532,11847,1110,A,,,
https://www.homeadvisor.com/cost/heating-and-cooling/repair-a-boiler/,Boiler Service Cost,HVAC (AC/Heating),390,160,626,5252,A,10,325,
https://www.homeadvisor.com/cost/doors-and-windows/install-shutters/,Shutter Installation Cost Calculator,Door installation,2508,1033,4028,1636,A,10,60,
https://www.homeadvisor.com/cost/environmental-safety/bat-removal/,Bat Removal Cost,,164,90,275,2199,A,,,
https://www.homeadvisor.com/cost/heating-and-cooling/pellet-stove/,Pellet Stove Cost,HVAC (AC/Heating),2327,1009,3667,466,A,10,325,
https://www.homeadvisor.com/cost/flooring/restore-and-polish-stone/,Stone Restoration Cost,Flooring,769,433,1111,115,A,85,85,
https://www.homeadvisor.com/cost/heating-and-cooling/convert-wood-fireplace-to-gas/,Wood to Gas Fireplace Conversion Cost,HVAC (AC/Heating),3000,500,5500,0,A,10,325,
https://www.homeadvisor.com/cost/fencing/repair-a-chain-link-fence/,Chain Link Fence Repair Cost,Fencing,412,237,587,1355,A,55,175,
https://www.homeadvisor.com/cost/environmental-safety/bed-bug-treatment/,Bed Bug Treatment Cost,,2500,1000,4000,0,A,,,
https://www.homeadvisor.com/cost/flooring/install-flooring/,Flooring Installation Costs,Flooring,4065,2136,6264,42402,A,85,85,
https://www.homeadvisor.com/cost/inspectors-and-appraisers/hire-a-home-inspector/,Home Inspection Cost,,313,265,375,34575,A,,,
https://www.homeadvisor.com/cost/heating-and-cooling/repair-an-attic-fan/,Attic Fan Repair Cost,HVAC (AC/Heating),321,211,453,79,A,10,325,
https://www.homeadvisor.com/cost/doors-and-windows/install-triple-pane-windows/,Triple-Pane Window Cost,Window replacement,1950,300,3000,0,A,30,350,
https://www.homeadvisor.com/cost/heating-and-cooling/chimney-rebuild/,Chimney Replacement Cost,HVAC (AC/Heating),9300,3100,15400,0,A,10,325,
https://www.homeadvisor.com/cost/heating-and-cooling/repoint-or-tuckpoint/,Repointing Brick Cost,HVAC (AC/Heating),1450,400,2500,0,A,10,325,
https://www.homeadvisor.com/cost/disaster-recovery/repair-fire-and-smoke-damage/,Fire Damage Restoration Cost,Water damage/restoration,27477,3083,52031,305,A,150,2250,
https://www.homeadvisor.com/cost/foundations/install-crawl-space-encapsulation/,Crawl Space Encapsulation Cost,,5500,5000,15000,0,A,,,
https://www.homeadvisor.com/cost/foundations/convert-crawl-space-to-basement/,Crawl Space to Basement Conversion Cost,,105000,83000,128000,0,A,,,
https://www.homeadvisor.com/cost/fencing/install-a-chain-link-fence/,Chain Link Fence Cost,Fencing,2106,1336,3133,4008,A,55,175,
https://www.homeadvisor.com/cost/garages/metal-carport/,Metal Carport Installation Cost,,5400,2700,7800,0,A,,,
https://www.homeadvisor.com/cost/electrical/electrical-inspection/,Electrical Inspection Cost,Electrical,150,100,400,0,A,10,175,
https://www.homeadvisor.com/cost/doors-and-windows/repair-windows/,Window Repair Cost Calculator,Window replacement,290,144,442,3036,A,30,350,
https://www.homeadvisor.com/cost/fencing/repair-a-wood-fence/,Wood Fence Repair Cost,Fencing,610,304,938,0,A,55,175,
https://www.homeadvisor.com/cost/heating-and-cooling/electric-fireplace/,Electric Fireplace Cost,HVAC (AC/Heating),1000,200,2200,0,A,10,325,
https://www.homeadvisor.com/cost/doors-and-windows/bow-windows/,Bow Window Cost,Window replacement,3900,1500,15000,0,A,30,350,
https://www.homeadvisor.com/cost/energy-efficiency/install-solar-battery-storage/,Solar Battery Cost,Solar,10000,6000,12000,0,A,100,100,
https://www.homeadvisor.com/cost/doors-and-windows/install-door-window-trim/,Install Window Trim Cost,Window replacement,900,500,1200,0,A,30,350,
https://www.homeadvisor.com/cost/garages/install-an-electric-vehicle-charging-station/,Electric Car Charger Installation Cost,,1158,736,1599,4445,A,,,
https://www.homeadvisor.com/cost/electrical/install-or-repair-a-home-automation-system/,Smart Home Cost Calculator,Electrical,483,315,820,388,A,10,175,
https://www.homeadvisor.com/cost/environmental-safety/remodel-for-disability-accommodation/,Widening a Doorway Cost Calculator,,4370,701,8056,403,A,,,
https://www.homeadvisor.com/cost/doors-and-windows/screen-door-prices/,Screen Door Installation Cost,Door installation,300,100,1500,0,A,10,60,
https://www.homeadvisor.com/cost/garages/install-a-glass-garage-door/,Glass Garage Door Cost Calculator,Garage door,4500,2500,8000,0,A,,,Industry tracked but no lead-cost data found
https://www.homeadvisor.com/cost/foundations/level-concrete-slabs/,Mudjacking Cost,,2775,1616,4418,2635,A,,,
https://www.homeadvisor.com/cost/energy-efficiency/install-solar-panels-in-florida/,How Much Do Solar Panels Cost in Florida?,Solar,28580,19640,37520,0,"B (range-only, avgCost is a midpoint estimate)",100,100,
https://www.homeadvisor.com/cost/environmental-safety/flea-exterminator/,Flea Exterminator Cost,,270,75,400,0,A,,,
https://www.homeadvisor.com/cost/electrical/install-under-cabinet-lighting/,Under-Cabinet Lighting Cost,Electrical,265,230,300,0,A,10,175,
https://www.homeadvisor.com/cost/inspectors-and-appraisers/chimney-inspection/,Chimney Inspection Cost,,450,100,5000,0,A,,,
https://www.homeadvisor.com/cost/disability-accommodation/repair-an-elevator-or-stair-lift/,Home Elevator Maintenance Cost,,510,300,760,0,A,,,
https://www.homeadvisor.com/cost/heating-and-cooling/home-ac-compressor-replacement-repair/,AC Compressor Cost,HVAC (AC/Heating),1200,800,2300,0,A,10,325,
https://www.homeadvisor.com/cost/flooring/install-limestone-flooring/,Limestone Flooring Installation Cost,Flooring,8300,7200,9700,0,A,85,85,
https://www.homeadvisor.com/cost/disaster-recovery/repair-water-damage/,Water Damage Restoration Cost Calculator,Water damage/restoration,3868,1383,6369,1501,A,150,2250,
https://www.homeadvisor.com/cost/doors-and-windows/replace-window-glass/,Window Glass Replacement Cost,Window replacement,361,229,499,13630,A,30,350,
https://www.homeadvisor.com/cost/electrical/gfci-outlet-cost/,GFCI Outlet Cost,Electrical,210,130,300,0,A,10,175,
https://www.homeadvisor.com/cost/cabinets-and-countertops/solid-surface-countertops/,Solid Surface Countertops Cost,,3757,2065,5689,620,A,,,
https://www.homeadvisor.com/cost/roofing/roof-truss-prices/,Roof Truss Cost,Roofing,16500,7500,35000,0,A,15,550,
https://www.homeadvisor.com/cost/doors-and-windows/repair-a-window-frame/,Window Frame Replacement Cost,Window replacement,474,237,715,298,A,30,350,
https://www.homeadvisor.com/cost/bathrooms/cultured-marble-shower-walls/,Cultured Marble Cost,Remodeling/general contracting,1850,1280,2150,0,A,90,150,
https://www.homeadvisor.com/cost/electrical/install-electrical-wiring-or-panel/,Rewiring a House Cost Calculator,Electrical,1482,674,2351,9560,A,10,175,
https://www.homeadvisor.com/cost/doors-and-windows/install-a-skylight/,Skylight Installation Cost,Door installation,3199,1208,5322,31,A,10,60,
https://www.homeadvisor.com/cost/outdoor-living/build-a-gazebo/,Gazebo Cost,,4211,1080,8125,211,A,,,
https://www.homeadvisor.com/cost/cleaning-services/clean-construction-site/,Post-Construction Cleaning Cost,,722,647,872,3079,A,,,
https://www.homeadvisor.com/cost/insulation/install-spray-foam-insulation/,Spray Foam Insulation Cost,,2904,1638,4256,4051,A,,,
https://www.homeadvisor.com/cost/landscape/mulch-delivery-install/,Mulching Cost,Landscaping/lawn care,180,100,350,0,A,8,45,
https://www.homeadvisor.com/cost/outdoor-living/refinish-a-deck/,Deck Refinishing Cost,,980,900,2720,0,A,,,
https://www.homeadvisor.com/cost/heating-and-cooling/install-an-attic-fan/,Attic Fan Installation Cost,HVAC (AC/Heating),387,293,481,2807,A,10,325,
https://www.homeadvisor.com/cost/outdoor-living/build-a-patio-enclosure/,Enclosed Porch Cost,,16956,9390,26269,2987,A,,,
https://www.homeadvisor.com/cost/landscape/stump-grinding/,Stump Grinding Cost,Landscaping/lawn care,250,120,500,0,A,8,45,
https://www.homeadvisor.com/cost/walls-and-ceilings/repair-a-wall/,Drywall Repair Cost Calculator,,1121,626,1700,15303,A,,,
https://www.homeadvisor.com/cost/walls-and-ceilings/remove-popcorn-ceiling/,Popcorn Ceiling Removal Cost,,2121,956,3347,4093,A,,,
https://www.homeadvisor.com/cost/kitchens/kitchen-designer/,Kitchen Design Cost,Remodeling/general contracting,20574,8500,33453,417,A,90,150,
https://www.homeadvisor.com/cost/walls-and-ceilings/install-baseboard/,Baseboard Cost,,1100,800,2250,0,A,,,
https://www.homeadvisor.com/cost/roofing/copper-roof/,Copper Roof Cost,Roofing,55000,45000,90000,0,A,15,550,
https://www.homeadvisor.com/cost/disability-accommodation/install-dumbwaiter/,Dumbwaiter Installation Cost,,10000,8000,12000,0,A,,,
https://www.homeadvisor.com/cost/walls-and-ceilings/texture-drywall/,Drywall Texturing Cost,,625,575,675,0,A,,,
https://www.homeadvisor.com/cost/stairs-and-railings/attic-ladder-installation/,Attic Ladder Installation Cost,,500,400,1000,0,A,,,
https://www.homeadvisor.com/cost/cleaning-services/apartment/,Apartment Cleaning Cost,,125,75,175,0,A,,,
https://www.homeadvisor.com/cost/electrical/install-a-generator/,Whole-House Generator Cost,Electrical,7128,4490,10162,4367,A,10,175,
https://www.homeadvisor.com/cost/swimming-pools-hot-tubs-and-saunas/inground-pool/,In-Ground Pool Cost,,127700,71400,184000,1467,A,,,
https://www.homeadvisor.com/cost/electrical/hire-an-electrician/,Electrician Cost,Electrical,351,163,538,102028,A,10,175,
https://www.homeadvisor.com/cost/cleaning-services/clean-gutters-and-downspouts/,Gutter Cleaning Cost,,191,122,309,37459,A,,,
https://www.homeadvisor.com/cost/bathrooms/install-a-bath-fan/,Bathroom Fan Installation Cost,Remodeling/general contracting,429,286,617,2564,A,90,150,
https://www.homeadvisor.com/cost/cleaning-services/clean-carpeting/,Carpet Cleaning Cost,Carpet cleaning,221,152,306,49584,A,25,25,
https://www.homeadvisor.com/cost/additions-and-remodels/gut-a-house/,Cost to Gut a House,Remodeling/general contracting,3000,1100,5100,0,A,90,150,
https://www.homeadvisor.com/cost/cleaning-services/housekeeping-services/,Housekeeper Cost,,200,120,280,0,A,,,
https://www.homeadvisor.com/cost/cleaning-services/furniture-mattress-removal/,Furniture Removal Cost Calculator,,180,75,250,0,A,,,
https://www.homeadvisor.com/cost/additions-and-remodels/convert-duplex-single-family/,Convert a Duplex to Single-Family Home Cost,Remodeling/general contracting,92500,50000,135000,0,A,90,150,
https://www.homeadvisor.com/cost/outbuildings/shed-prices/,Cost to Build a Shed,,3500,1000,15000,0,A,,,
https://www.homeadvisor.com/cost/environmental-safety/remove-toxic-lead/,Lead Paint Removal Cost,,3499,1478,5520,62,A,,,
https://www.homeadvisor.com/cost/handyman/hire-a-handyman/,Handyperson Cost,Handyman,506,218,795,104317,A,30,30,
https://www.homeadvisor.com/cost/garages/install-a-driveway/,Driveway Paving Cost,,5612,3224,8116,22656,A,,,
https://www.homeadvisor.com/cost/architects-and-engineers/hire-a-draftsperson/,Blueprints Cost,,1212,562,1863,568,A,,,
https://www.homeadvisor.com/cost/kitchens/install-microwave/,Microwave Installation Cost,Remodeling/general contracting,175,127,224,1767,A,90,150,
https://www.homeadvisor.com/cost/basements/remodel-a-basement/,Basement Remodel Cost,,31238,18095,48746,7262,A,,,
https://www.homeadvisor.com/cost/cabinets-and-countertops/silestone-countertops-installation-cost/,Silestone® Countertops Cost,,3700,1800,5600,0,A,,,
https://www.homeadvisor.com/cost/architects-and-engineers/hire-an-engineer/,Structural Engineer Cost,,534,347,746,4560,A,,,
https://www.homeadvisor.com/cost/doors-and-windows/install-windows/,Window Installation Cost Calculator,Window replacement,6127,3111,9211,18824,A,30,350,
https://www.homeadvisor.com/cost/landscape/stump-grinder-rental/,Stump Grinder Rental Cost,Landscaping/lawn care,300,90,400,0,A,8,45,
https://www.homeadvisor.com/cost/cabinets-and-countertops/caesarstone-countertop-prices/,Caesarstone Countertop Installation Cost,,2500,1900,4800,0,A,,,
https://www.homeadvisor.com/cost/bathrooms/toilet-prices/,How Much Does a Toilet Cost?,Remodeling/general contracting,795,90,1500,-1,"B (range-only, avgCost is a midpoint estimate)",90,150,
https://www.homeadvisor.com/cost/cleaning-services/clean-windows/,Window Cleaning Cost,,218,155,295,26006,A,,,
https://www.homeadvisor.com/cost/swimming-pools-hot-tubs-and-saunas/build-a-swimming-pool/,Pool Installation Cost,,41835,25002,58866,3035,A,,,
https://www.homeadvisor.com/cost/heating-and-cooling/attic-insulation/,Attic Insulation Cost,HVAC (AC/Heating),2100,1700,2500,0,A,10,325,
https://www.homeadvisor.com/cost/architects-and-engineers/test-soil/,Soil Testing Cost,,764,651,876,52,A,,,
https://www.homeadvisor.com/cost/outdoor-living/repair-a-deck/,Deck Replacement Cost,,2246,890,3664,15365,A,,,
https://www.homeadvisor.com/cost/landscape/clear-land-or-prepare-a-construction-site/,Land Clearing Cost,Landscaping/lawn care,16500,3000,30000,2425,A,8,45,
https://www.homeadvisor.com/cost/kitchens/washer-dryer-installation/,Washer and Dryer Installation Cost,Remodeling/general contracting,750,350,1150,0,A,90,150,
https://www.homeadvisor.com/cost/swimming-pools-hot-tubs-and-saunas/plunge-pool/,Plunge Pool Cost,,28000,10000,40000,0,A,,,
https://www.homeadvisor.com/cost/siding/log-siding-prices/,How Much Does Log Siding Cost?,Siding,14250,5000,23500,-1,"B (range-only, avgCost is a midpoint estimate)",105,105,
https://www.homeadvisor.com/cost/swimming-pools-hot-tubs-and-saunas/spool-pool/,Spool Pool Installation Cost,,22650,5500,50000,0,A,,,
https://www.homeadvisor.com/cost/walls-and-ceilings/install-a-concrete-wall/,Concrete Wall Installation Cost,,8354,3068,14512,211,A,,,
https://www.homeadvisor.com/cost/cleaning-services/remove-waste/,Junk Removal Cost,,499,216,783,44873,A,,,
https://www.homeadvisor.com/cost/additions-and-remodels/hire-a-construction-manager/,Construction Management Cost,Remodeling/general contracting,58700,2770,128612,109,A,90,150,
https://www.homeadvisor.com/cost/cleaning-services/pressure-wash-driveway/,Pressure Wash a Driveway Cost,,210,100,350,0,A,,,
https://www.homeadvisor.com/cost/electrical/repair-a-lighting-fixture/,Lighting Fixture Repair Cost Calculator,Electrical,199,125,277,3332,A,10,175,
https://www.homeadvisor.com/cost/bathrooms/remodel-a-bathroom/,Bathroom Remodel Cost,Remodeling/general contracting,12652,7082,18245,28397,A,90,150,
https://www.homeadvisor.com/cost/landscape/install-landscaping/,Landscaping Cost,Landscaping/lawn care,3420,1154,5686,32796,A,8,45,
https://www.homeadvisor.com/cost/roofing/metal-roof-installation/,Metal Roof Cost,Roofing,10733,6400,15066,4410,A,15,550,
https://www.homeadvisor.com/cost/inspectors-and-appraisers/hire-a-property-appraiser/,Home Appraisal Cost Calculator,,514,438,623,7370,A,,,
https://www.homeadvisor.com/cost/cleaning-services/deep-cleaning-a-house/,How Much Does It Cost to Deep Clean a House in 2026?,,300,200,400,-1,"B (range-only, avgCost is a midpoint estimate)",,,
https://www.homeadvisor.com/cost/architects-and-engineers/hire-a-land-surveyor/,Land Survey Cost,,381,324,441,4117,A,,,
https://www.homeadvisor.com/cost/roofing/fascia-soffit-install-repair/,Fascia Board Replacement Cost,Roofing,2500,1050,3300,0,A,15,550,
https://www.homeadvisor.com/cost/foundations/install-a-foundation/,Building a Foundation Costs,,13621,6566,21163,885,A,,,
https://www.homeadvisor.com/cost/lawn-and-garden/aerate-a-lawn/,Lawn Aeration Cost,Landscaping/lawn care,232,139,347,3529,A,8,45,
https://www.homeadvisor.com/cost/environmental-safety/test-or-remove-asbestos/,Asbestos Testing Cost,,798,769,848,2504,A,,,
